Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2024;Jan 2, 2024;47,372.00;24,499.75;96,307.75;285,722.75;15,846.50;834.25;-;0.00;6,982.50;13,176.00;3,245.75;1,470.00
Jan 2, 2024;Jan 3, 2024;48,316.00;25,186.75;99,465.75;285,288.50;3,144.00;815.00;-;0.00;6,621.75;25,068.75;6,674.75;1,548.00
Jan 3, 2024;Jan 4, 2024;47,914.00;22,763.25;69,409.50;380,156.00;11,756.75;761.00;-;0.00;9,401.00;27,913.00;3,207.00;6,227.00
Jan 4, 2024;Jan 5, 2024;48,680.50;23,558.75;43,081.75;185,507.25;8,771.50;791.75;-;0.00;24,554.00;42,256.50;5,507.25;6,333.00
Jan 5, 2024;Jan 6, 2024;48,878.50;24,255.75;119,931.25;218,140.00;10,749.25;836.00;-;0.00;19,936.50;38,531.75;3,487.50;6,752.00
Jan 6, 2024;Jan 7, 2024;49,116.00;24,540.50;112,078.25;141,825.75;5,271.25;821.50;-;0.00;8,768.00;38,061.50;3,429.00;4,798.00
Jan 7, 2024;Jan 8, 2024;48,940.00;27,002.00;73,131.75;142,612.50;5,308.00;860.75;-;0.00;11,765.50;43,956.50;2,993.75;5,823.00
Jan 8, 2024;Jan 9, 2024;49,742.75;26,679.50;103,635.50;184,770.75;13,569.50;853.25;-;0.00;46,679.25;70,531.50;3,877.75;6,375.25
Jan 9, 2024;Jan 10, 2024;50,016.75;30,797.75;22,229.50;108,567.50;29,167.50;884.00;-;0.00;76,097.75;76,136.50;5,918.25;4,790.75
Jan 10, 2024;Jan 11, 2024;50,532.75;33,356.00;13,525.50;61,397.00;26,799.25;831.00;-;0.00;75,067.75;108,391.00;6,300.25;4,556.00
Jan 11, 2024;Jan 12, 2024;50,468.75;33,598.75;23,425.00;31,882.50;26,329.75;849.75;-;0.00;84,727.25;111,844.50;4,592.75;4,692.50
Jan 12, 2024;Jan 13, 2024;50,763.75;31,344.00;82,372.75;83,256.25;5,828.00;852.00;-;0.00;80,452.75;107,726.75;6,564.00;4,731.75
Jan 13, 2024;Jan 14, 2024;49,871.00;27,998.25;85,975.50;248,281.25;3,724.75;874.75;-;0.00;31,293.00;68,108.25;1,864.50;6,444.00
Jan 14, 2024;Jan 15, 2024;49,323.00;25,352.50;105,165.50;241,591.75;11,700.25;878.00;-;0.00;22,917.00;68,237.75;4,185.75;6,996.00
Jan 15, 2024;Jan 16, 2024;49,396.50;27,352.75;98,668.00;206,392.00;7,671.00;792.75;-;0.00;36,820.25;93,305.75;4,693.00;1,962.25
Jan 16, 2024;Jan 17, 2024;49,946.50;26,717.00;83,285.25;152,104.75;8,520.50;785.75;-;0.00;63,128.50;100,618.00;7,210.25;6,798.25
Jan 17, 2024;Jan 18, 2024;50,344.50;27,947.75;58,879.00;140,087.50;4,447.25;731.00;-;0.00;63,819.00;108,162.25;6,813.75;6,337.00
Jan 18, 2024;Jan 19, 2024;50,573.25;29,149.75;70,313.25;86,686.00;9,183.75;754.25;-;0.00;47,332.00;99,667.50;5,753.00;6,433.00
Jan 19, 2024;Jan 20, 2024;50,031.25;27,431.75;98,266.00;284,338.50;11,400.25;895.75;-;0.00;20,802.75;97,311.50;4,086.25;4,284.00
Jan 20, 2024;Jan 21, 2024;49,896.25;24,558.25;104,586.75;282,175.50;28,334.00;904.75;-;0.00;16,527.00;82,346.50;3,772.50;4,612.00
