Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2024;Jan 2, 2024;18,824.00;2,729.75;181,662.50;6,683.25;1,786.25;-;26,998.25;22,431.25;24,423.00;4,222.50;12,859.50
Jan 2, 2024;Jan 3, 2024;19,506.00;2,812.50;204,857.50;2,127.50;1,769.50;-;33,392.75;23,558.50;40,135.00;6,698.75;14,579.50
Jan 3, 2024;Jan 4, 2024;19,536.25;2,802.00;214,682.00;6,763.75;1,824.50;-;29,954.75;24,773.50;34,936.25;4,585.50;14,100.25
Jan 4, 2024;Jan 5, 2024;20,107.75;2,927.00;128,493.75;5,967.25;1,742.25;-;65,170.00;30,431.00;65,778.25;4,126.50;14,419.75
Jan 5, 2024;Jan 6, 2024;20,286.25;2,879.75;120,528.75;5,369.25;1,838.75;-;75,799.50;35,428.75;70,523.25;1,819.50;14,305.25
Jan 6, 2024;Jan 7, 2024;20,387.00;2,669.25;23,566.25;1,867.50;1,836.75;-;89,925.00;32,197.50;65,509.00;1,119.75;17,834.25
Jan 7, 2024;Jan 8, 2024;20,043.50;2,612.50;72,991.00;3,101.00;1,793.25;-;81,296.50;30,573.50;62,537.50;1,651.50;17,896.25
Jan 8, 2024;Jan 9, 2024;20,311.50;2,549.25;111,396.25;9,708.00;1,528.50;-;119,605.50;37,250.75;113,264.75;1,177.75;18,376.75
Jan 9, 2024;Jan 10, 2024;20,372.25;2,494.75;110,484.25;16,708.25;1,529.50;-;143,175.75;73,976.75;142,856.50;3,723.25;17,665.25
Jan 10, 2024;Jan 11, 2024;20,410.00;2,666.00;57,885.50;14,299.75;1,553.25;-;165,238.75;96,055.00;170,282.00;3,377.00;15,043.25
Jan 11, 2024;Jan 12, 2024;20,351.00;2,615.00;32,990.75;14,597.75;1,659.50;-;172,787.50;96,010.25;167,727.00;3,569.25;15,021.25
Jan 12, 2024;Jan 13, 2024;20,586.25;2,596.50;12,980.50;3,163.75;1,655.75;-;163,663.00;90,917.00;160,894.25;3,946.75;14,870.50
