Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025;Jan 2, 2025;18,214.75;2,132.75;30,040.50;338,842.25;7,996.75;504.00;49,469.00;10,862.00;31,566.00;308.75;19,915.50
Jan 2, 2025;Jan 3, 2025;19,445.00;2,276.50;29,282.00;207,672.75;9,790.75;504.00;124,693.50;18,116.00;52,186.25;13,750.75;19,182.50
Jan 3, 2025;Jan 4, 2025;18,796.50;2,201.50;27,336.50;285,672.50;8,222.25;504.00;112,399.25;13,200.00;51,501.75;4,577.50;18,491.50
Jan 4, 2025;Jan 5, 2025;19,133.50;2,240.00;22,992.00;113,631.50;4,089.75;504.00;175,898.25;22,280.50;74,972.00;14,721.00;20,650.50
Jan 5, 2025;Jan 6, 2025;19,187.50;2,246.75;16,735.75;125,055.50;2,256.75;504.00;132,997.00;14,343.75;56,729.00;2,172.00;19,805.75
Jan 6, 2025;Jan 7, 2025;16,690.00;1,952.50;16,504.75;290,515.75;7,141.00;504.00;52,543.25;11,218.00;36,494.25;10,063.00;18,989.75
Jan 7, 2025;Jan 8, 2025;22,048.00;2,581.50;25,577.50;274,813.50;13,378.75;504.00;65,556.75;11,030.00;42,179.75;14,560.25;19,066.00
Jan 8, 2025;Jan 9, 2025;24,557.00;2,874.75;29,169.75;197,159.75;13,586.50;504.00;134,944.00;17,779.50;54,319.25;9,032.00;19,554.00
Jan 9, 2025;Jan 10, 2025;24,924.75;2,916.00;5,750.25;112,209.00;5,372.00;504.00;178,012.25;22,196.25;73,985.25;13,040.00;22,028.50
Jan 10, 2025;Jan 11, 2025;25,252.75;2,955.25;24,671.25;221,027.75;3,637.50;504.00;161,359.50;20,579.75;72,278.75;12,890.00;21,355.00
Jan 11, 2025;Jan 12, 2025;25,799.50;3,021.25;23,683.75;280,925.75;8,794.00;504.00;112,541.25;14,896.50;59,428.25;2,292.00;19,554.75
Jan 12, 2025;Jan 13, 2025;26,174.75;3,064.25;13,519.50;126,472.25;10,710.25;504.00;149,700.25;21,508.00;75,908.00;8,908.25;22,056.25
Jan 13, 2025;Jan 14, 2025;25,856.00;3,026.50;18,302.50;42,032.75;14,704.75;504.00;167,836.50;24,096.50;91,743.25;12,648.25;24,261.25
Jan 14, 2025;Jan 15, 2025;25,988.50;3,042.75;34,895.25;165,980.25;8,158.75;504.00;156,076.50;20,580.25;82,771.25;9,026.75;21,926.00
Jan 15, 2025;Jan 16, 2025;26,425.00;3,093.00;9,351.00;73,667.00;4,800.75;504.00;182,718.00;24,460.00;94,395.50;15,749.25;22,551.50
Jan 16, 2025;Jan 17, 2025;25,733.25;3,012.50;28,647.75;33,060.00;5,013.00;504.00;171,479.25;17,419.00;98,087.50;11,316.25;22,927.25
Jan 17, 2025;Jan 18, 2025;25,379.25;2,972.25;26,646.75;14,619.50;12,434.50;504.00;179,152.50;14,911.75;100,347.00;13,375.00;23,648.50
Jan 18, 2025;Jan 19, 2025;25,921.25;3,035.25;9,820.00;6,949.50;15,688.75;504.00;173,737.75;17,058.00;90,717.25;7,851.25;22,537.75
Jan 19, 2025;Jan 20, 2025;25,815.25;3,292.25;527.50;58,409.75;26,976.50;504.00;169,839.50;16,612.00;86,580.00;7,997.25;22,507.00
Jan 20, 2025;Jan 21, 2025;25,946.75;3,037.00;5,755.25;67,475.25;24,737.50;504.00;176,477.00;16,718.50;95,298.50;15,822.50;17,040.50
Jan 21, 2025;Jan 22, 2025;26,755.00;3,132.00;9,655.75;12,421.25;13,503.50;504.00;190,601.25;16,591.75;101,405.25;14,950.75;17,953.00
Jan 22, 2025;Jan 23, 2025;26,271.00;3,075.00;11,851.25;87,644.75;20,778.50;504.00;185,689.25;16,757.75;95,882.25;11,415.75;16,271.75
Jan 23, 2025;Jan 24, 2025;22,133.50;2,591.25;32,285.25;212,777.00;5,565.75;504.00;141,081.50;13,023.00;66,657.50;7,241.75;14,430.50
Jan 24, 2025;Jan 25, 2025;21,964.00;2,571.75;29,521.50;221,335.25;16,117.75;165.50;86,051.75;5,652.25;50,509.50;4,514.50;14,110.25
Jan 25, 2025;Jan 26, 2025;24,834.25;2,908.25;21,455.25;185,743.00;10,889.75;0.00;124,892.25;9,250.75;53,331.25;15,535.50;14,229.25
Jan 26, 2025;Jan 27, 2025;26,964.25;3,156.75;4,308.00;112,831.25;10,219.50;0.00;157,992.75;10,270.25;63,701.75;5,992.25;15,442.25
Jan 27, 2025;Jan 28, 2025;26,417.25;3,092.25;22,501.25;233,249.50;9,502.75;0.00;93,780.75;8,168.00;47,089.50;9,152.25;13,766.25
Jan 28, 2025;Jan 29, 2025;26,408.00;3,092.50;9,391.00;107,424.25;7,761.75;0.00;143,872.50;11,677.00;59,740.00;15,977.25;15,763.25
Jan 29, 2025;Jan 30, 2025;26,449.50;3,096.75;16,386.50;212,088.75;13,238.25;154.50;139,464.25;15,593.75;58,455.75;9,384.25;14,867.00
Jan 30, 2025;Jan 31, 2025;26,714.50;3,127.25;26,679.00;89,231.25;14,270.50;504.00;163,188.25;24,595.00;66,928.00;12,400.00;12,907.00
Jan 31, 2025;Feb 1, 2025;26,544.50;3,107.50;11,638.00;132,330.75;19,968.50;504.00;173,553.25;29,603.50;71,808.75;13,367.25;12,782.50
Feb 1, 2025;Feb 2, 2025;26,814.50;3,139.00;5,187.25;23,685.25;16,251.75;504.00;172,226.50;31,078.75;67,339.00;8,361.00;12,960.00
Feb 2, 2025;Feb 3, 2025;27,110.00;3,173.50;1,355.25;5,740.75;24,141.00;504.00;176,120.00;29,566.00;66,091.00;6,731.50;12,866.75
Feb 3, 2025;Feb 4, 2025;26,793.50;3,136.50;4,039.50;19,885.75;39,638.25;504.00;177,363.00;31,070.00;78,876.50;15,888.50;14,594.50
Feb 4, 2025;Feb 5, 2025;26,141.25;3,060.00;5,211.50;41,084.50;41,089.50;504.00;170,518.75;31,004.50;76,046.25;10,748.00;18,821.25
Feb 5, 2025;Feb 6, 2025;23,319.00;2,730.25;19,596.25;85,690.50;10,034.75;504.00;173,859.50;29,679.50;78,057.25;9,486.75;19,188.75
Feb 6, 2025;Feb 7, 2025;23,209.75;2,716.25;6,543.50;35,300.50;8,306.25;504.00;178,508.50;30,872.00;80,552.00;8,401.00;20,446.75
Feb 7, 2025;Feb 8, 2025;23,430.75;2,742.75;27,484.25;169,848.75;14,376.00;504.00;162,350.00;24,040.25;69,348.00;5,298.75;20,456.75
Feb 8, 2025;Feb 9, 2025;27,390.50;3,207.00;22,419.75;110,406.50;36,068.50;77.25;136,200.00;24,628.25;63,092.75;8,128.00;14,263.75
Feb 9, 2025;Feb 10, 2025;26,830.00;3,140.25;15,480.50;50,839.50;37,399.75;0.00;151,000.50;25,734.75;67,702.00;6,763.50;14,465.00
Feb 10, 2025;Feb 11, 2025;26,183.50;3,066.00;36,623.50;115,819.25;22,336.25;0.00;153,202.00;23,061.50;70,965.00;10,755.00;21,110.00
Feb 11, 2025;Feb 12, 2025;25,734.50;3,013.00;29,065.50;186,951.50;31,668.50;0.00;129,705.00;21,973.75;70,884.50;7,620.75;20,173.25
Feb 12, 2025;Feb 13, 2025;25,318.50;2,963.75;19,262.50;87,721.50;21,300.50;162.50;159,885.75;28,782.25;86,413.50;9,467.00;22,032.00
Feb 13, 2025;Feb 14, 2025;25,350.50;2,967.50;25,227.00;39,098.00;4,259.50;399.00;175,534.75;29,890.25;98,765.75;13,615.75;24,251.75
Feb 14, 2025;Feb 15, 2025;26,265.00;3,074.50;15,136.75;41,194.50;5,520.50;504.00;183,423.25;30,196.50;100,175.50;11,354.75;22,196.00
Feb 15, 2025;Feb 16, 2025;26,853.25;3,143.50;6,965.25;5,732.50;12,335.25;504.00;184,701.25;30,791.75;89,713.00;6,187.00;22,834.00
Feb 16, 2025;Feb 17, 2025;26,180.50;3,065.50;11,395.25;32,056.00;24,270.75;504.00;174,876.00;29,665.00;86,026.50;4,790.50;22,905.25
Feb 17, 2025;Feb 18, 2025;25,702.75;3,009.00;12,704.25;8,814.50;40,622.25;497.50;187,479.75;29,023.50;99,068.25;17,892.75;22,935.00
Feb 18, 2025;Feb 19, 2025;26,535.75;3,104.50;12,465.75;22,620.25;48,136.50;504.00;181,919.25;28,719.50;96,519.50;10,874.50;22,351.25
Feb 19, 2025;Feb 20, 2025;26,937.00;3,153.75;1,375.00;84,843.75;52,498.50;504.00;161,576.50;25,480.75;85,024.50;9,232.25;21,550.00
Feb 20, 2025;Feb 21, 2025;26,951.75;3,154.50;24,141.25;149,433.25;46,451.25;504.00;151,054.25;26,538.25;79,065.50;10,565.75;21,358.25
Feb 21, 2025;Feb 22, 2025;27,154.75;3,177.50;21,611.75;108,617.50;28,135.75;504.00;136,548.50;18,050.50;62,500.75;10,534.25;20,334.75
Feb 22, 2025;Feb 23, 2025;27,178.00;3,181.00;28,229.25;165,617.25;43,999.00;504.00;97,337.50;18,650.50;48,575.25;14,883.75;20,319.50
Feb 23, 2025;Feb 24, 2025;26,915.75;3,152.00;7,859.75;80,718.50;29,669.00;504.00;124,291.00;19,348.00;51,831.75;8,924.50;20,465.75
Feb 24, 2025;Feb 25, 2025;26,748.00;3,131.50;27,805.25;144,219.00;43,896.50;351.75;115,324.25;15,801.25;50,064.25;6,029.50;20,256.75
Feb 25, 2025;Feb 26, 2025;25,506.00;2,985.25;8,718.50;45,275.25;30,866.75;369.25;172,459.25;22,008.00;67,814.75;14,166.50;21,148.75
Feb 26, 2025;Feb 27, 2025;25,398.75;2,972.75;1,180.25;40,504.75;15,033.50;497.00;181,231.25;31,146.25;74,973.75;10,267.50;21,962.25
Feb 27, 2025;Feb 28, 2025;23,255.75;2,722.50;109.00;41,511.00;28,157.25;504.00;184,221.25;29,771.50;74,208.75;10,901.50;21,591.25
Feb 28, 2025;Mar 1, 2025;23,401.75;2,740.50;4,110.75;43,350.00;21,681.50;503.75;192,059.00;30,310.25;76,864.75;13,035.50;22,132.00
Mar 1, 2025;Mar 2, 2025;23,191.50;2,716.00;11,418.25;47,680.25;24,100.00;504.00;186,116.25;29,527.75;69,276.50;7,915.50;22,327.50
Mar 2, 2025;Mar 3, 2025;23,077.00;2,702.50;34,310.25;57,658.50;43,909.75;504.00;155,492.00;22,982.50;59,206.00;9,102.75;21,550.50
Mar 3, 2025;Mar 4, 2025;22,916.00;2,683.00;38,208.75;82,762.00;65,884.00;504.00;160,399.75;22,598.75;60,655.00;15,355.50;21,538.50
Mar 4, 2025;Mar 5, 2025;23,325.75;2,730.75;36,318.25;79,939.00;68,615.75;504.00;150,233.25;22,258.75;54,515.50;13,625.25;21,246.75
